id|question|rep1|rep2|rep3|rep4|bonne_reponse
0|Lequelle de ces personnages n'a jamais été roi|Napoléon 1er|Louis XIV|Henri II|Charlemagne|1
1|Le coeur d'une crevette est logé dans sa tête.|Vrai|Faux| | |1
2|Comment Hitler est-il mort ?|Il est mort par empoisonnement|Il est mort dans une fusillade|Il s'est suicidé dans son bunker|Il n'est pas mort|3
3|Quand le premier homme a-t-il atterri sur la lune ?|1979|1981|1964|1969|4
4|Quel est le pays le plus peuplé du monde ?|Le Japon|La Russie|La Chine|Les États-Unis|3
5|Quel est le premier film de Disney ?|Blanche-Neige et les Sept Nains|Pinocchio|Dumbo|Bambi|1
6|Qui a écrit le mythe de la caverne ?|Emmanuel Kant|Platon|Aristote|Jean-Jacques Rousseau|2
7|Antoine de Saint-Exupéry a-t-il écrit Le Petit Prince ?|Vrai|Faux| | |1
8|Quel est le sport dans lequel a excellé Carl Lewis ?|La natation|L'athlétisme|Le golf|Le ski de fond|2
9|En quelle année le Titanic a-t-il coulé dans l'océan Atlantique le 15 avril, lors de son premier voyage au départ de Southampton?|1910|1911|1912|1913|3
10|Samsung vient de la Corée du Nord ?|Vrai|Faux| | |2
11|Quel métal a été découvert par Hans Christian Oersted en 1825?|Cuivre|Aluminium|Fonte| |2
12|Combien de respirations le corps humain prend-il quotidiennement?|10.000|20.000|40.000|60.000|2
13|Quel est le symbole chimique de l'argent?|Ag|aG|AG|aE|1
14|Pour quoi Paul Hunn détient-il le record, qui s'est établi à 118.1 décibels?|Le pet le plus fort|La mort la plus bruyante|Le rot le plus fort|Le cri le plus fort|3
15|Quelle est la durée de vie d'une libellule?|12 heures|1 jours|4 jours|1 semaine|2
16|Le "Taj Mahal" se trouve au Japon ?|Vrai|Faux| | |2
