id|question|rep1|rep2|rep3|rep4|bonne_reponse
0|Lequelle de ces personnages n'a jamais été roi|Napoléon 1er|Louis XIV|Henri II|Charlemagne|1
1|Comment Hitler est-il mort ?|Il est mort par empoisonnement|Il est mort dans une fusillade|Il s'est suicidé dans son bunker|Il n'est pas mort|3
2|Quand le premier homme a-t-il atterri sur la lune ?|1979|1981|1964|1969|4
3|Quel célèbre dictateur dirigea l’URSS du milieu des années 1920 à 1953 ?|Molotov|Staline|Lénine|Trotski|2
4|Qui était le dieu de la guerre dans la mythologie grecque ?|Apollon|Arès|Hermès|Hadès|2
5|En quelle année Charlemagne se fait-il sacrer empereur ?|756 ap. J-C|800 ap. J-C|787 ap. J-C|120 av. J-c|2
6|Quel roi de France proclama l'édit de Nantes ?|Louis XIV|François Ier|Henri IV|Louis XIII|3
7|Qui s'est déclaré " premier flic de France " ?|Léon Blum|Charles de Gaulle|Aristide Briand|Georges Clemenceau|4
8|Quel journal a été attaqué par des terroristes islamistes en janvier 2015 ?|Libération|Le Monde|Le Figaro|Charlie Hebdo|4
9|Quelle année retient-on habituellement comme l'année de la chute de l'Empire romain d'Occident ?|375 ap. J-C|476 av. J-C|476 ap. J-c|375 av. J-C|3
10|Combien d'états fédérés (Länder) l'Allemagne compte-t-elle ?|4|8|16|24|3
